TimeStamp,Counter,RelativeDistance,RelativeSpeed,LeadVehicleSpeed,HostVehicleSpeed
1712345751.4286,742.0,23.162,0.43,4.5,4.07
1712345751.5286,743.0,22.763,0.48,4.5,4.02
1712345751.6289,744.0,22.365,0.52,4.5,3.98
1712345751.729,745.0,22.911,0.58,4.5,3.92
1712345751.8292,746.0,22.602,0.62,4.5,3.88
1712345751.9293,747.0,22.247,0.67,4.5,3.83
1712345752.0295,748.0,22.777,0.71,4.5,3.79
1712345752.1296,749.0,22.48,0.76,4.5,3.74
1712345752.2302,750.0,22.176,0.81,4.5,3.69
1712345752.3301,751.0,21.787,0.85,4.5,3.65
1712345752.4303,752.0,22.373,0.9,4.5,3.6
1712345752.5304,753.0,22.035,0.94,4.5,3.56
1712345752.6305,754.0,21.767,0.98,4.5,3.52
1712345752.7307,755.0,22.338,1.02,4.5,3.48
1712345752.8309,756.0,22.076,1.05,4.5,3.45
1712345752.932,757.0,21.812,1.09,4.5,3.41
1712345753.0311,758.0,22.415,1.13,4.5,3.37
1712345753.1313,759.0,22.151,1.16,4.5,3.34
1712345753.2314,760.0,21.897,1.2,4.5,3.3
1712345753.3316,761.0,21.59,1.23,4.5,3.27
1712345753.4317,762.0,22.552,1.26,4.5,3.24
1712345753.5319,763.0,22.253,1.29,4.5,3.21
1712345753.6321,764.0,21.97,1.32,4.5,3.18
1712345753.7322,765.0,21.694,1.34,4.5,3.16
1712345753.8324,766.0,21.451,1.36,4.5,3.14
1712345753.9326,767.0,22.676,1.38,4.5,3.12
1712345754.035,768.0,22.448,1.4,4.5,3.1
1712345754.1333,769.0,22.229,1.41,4.5,3.09
1712345754.2334,770.0,21.987,1.43,4.5,3.07
1712345754.3336,771.0,21.711,1.44,4.5,3.06
1712345754.4343,772.0,23.127,1.45,4.5,3.05
1712345754.5344,773.0,22.932,1.46,4.5,3.04
1712345754.6345,774.0,22.742,1.47,4.5,3.03
1712345754.7346,775.0,22.518,1.48,4.5,3.02
1712345754.8348,776.0,24.027,1.49,4.5,3.01
1712345754.9349,777.0,23.766,1.49,4.5,3.01
1712345755.0352,778.0,23.553,1.51,4.5,2.99
1712345755.1352,779.0,23.347,1.5,4.5,3.0
1712345755.2354,780.0,23.164,1.5,4.5,3.0
1712345755.3355,781.0,24.798,1.47,4.5,3.03
1712345755.4356,782.0,24.631,1.46,4.5,3.04
1712345755.5357,783.0,24.426,1.44,4.5,3.06
1712345755.6358,784.0,24.23,1.42,4.5,3.08
1712345755.7359,785.0,25.929,1.39,4.5,3.11
1712345755.8361,786.0,25.675,1.37,4.5,3.13
1712345755.9362,787.0,25.413,1.33,4.5,3.17
1712345756.0363,788.0,25.12,1.3,4.5,3.2
1712345756.1364,789.0,24.818,1.26,4.5,3.24
1712345756.2366,790.0,26.432,1.22,4.5,3.28
1712345756.3367,791.0,26.176,1.18,4.5,3.32
1712345756.4461,792.0,25.908,1.14,4.5,3.36
1712345756.5371,793.0,25.649,1.1,4.5,3.4
1712345756.6372,794.0,25.343,1.05,4.5,3.45
1712345756.7379,795.0,26.961,1.0,4.5,3.5
1712345756.838,796.0,26.634,0.95,4.5,3.55
1712345756.9382,797.0,26.35,0.91,4.5,3.59
1712345757.0467,798.0,25.94,0.87,4.5,3.63
1712345757.139,799.0,29.459,0.81,4.5,3.69
1712345757.2393,800.0,29.138,0.78,4.5,3.72
1712345757.3393,801.0,28.772,0.73,4.5,3.77
1712345757.4395,802.0,28.432,0.69,4.5,3.81
1712345757.5405,803.0,28.017,0.65,4.5,3.85
1712345757.6398,804.0,27.651,0.61,4.5,3.89
1712345757.7399,805.0,27.309,0.55,4.5,3.95
1712345757.8401,806.0,26.927,0.5,4.5,4.0
1712345757.9402,807.0,26.532,0.45,4.5,4.05
1712345758.0404,808.0,28.129,0.39,4.5,4.11
1712345758.1405,809.0,27.735,0.35,4.5,4.15
1712345758.2406,810.0,27.35,0.29,4.5,4.21
1712345758.3408,811.0,26.976,0.24,4.5,4.26
1712345758.441,812.0,28.697,0.19,4.5,4.31
1712345758.5411,813.0,28.298,0.14,4.5,4.36
1712345758.6413,814.0,27.879,0.1,4.5,4.4
1712345758.7414,815.0,27.47,0.06,4.5,4.44
1712345758.8415,816.0,27.031,0.04,4.5,4.46
1712345758.9417,817.0,28.613,0.01,4.5,4.49
