Time,VehicleType,VehicleSpeed,Grade
45.34,vehicle.nissan.micra,0.0,0.0
45.48,vehicle.nissan.micra,0.0,0.0
45.5,vehicle.nissan.micra,0.0,0.0
45.62,vehicle.nissan.micra,0.0,0.0
45.82,vehicle.nissan.micra,0.0,0.0
45.83,vehicle.nissan.micra,0.0,0.0
45.9,vehicle.nissan.micra,0.0,0.0
46.08,vehicle.nissan.micra,0.0,0.0
46.18,vehicle.nissan.micra,0.0,0.0
46.2,vehicle.nissan.micra,0.0,0.0
46.3,vehicle.nissan.micra,0.0,0.0
46.44,vehicle.nissan.micra,0.0,0.0
46.54,vehicle.nissan.micra,0.0,0.0
46.69,vehicle.nissan.micra,0.0,0.0
46.74,vehicle.nissan.micra,0.0,0.0
46.83,vehicle.nissan.micra,0.0,0.0
46.94,vehicle.nissan.micra,0.0,0.0
47.01,vehicle.nissan.micra,0.0,0.0
47.1,vehicle.nissan.micra,0.0,0.0
47.23,vehicle.nissan.micra,0.0,0.0
47.38,vehicle.nissan.micra,0.0,0.0
47.4,vehicle.nissan.micra,0.0,0.0
47.61,vehicle.nissan.micra,0.0,0.0
47.61,vehicle.nissan.micra,0.0,0.0
47.71,vehicle.nissan.micra,0.0,0.0
47.8,vehicle.nissan.micra,0.0,0.0
47.99,vehicle.nissan.micra,0.0,0.0
48.04,vehicle.nissan.micra,0.0,0.0
48.19,vehicle.nissan.micra,0.0,0.0
48.24,vehicle.nissan.micra,0.0,0.0
48.3,vehicle.nissan.micra,0.0,0.0
48.4,vehicle.nissan.micra,0.0,0.0
48.5,vehicle.nissan.micra,0.0,0.0
48.64,vehicle.nissan.micra,0.0,0.0
48.75,vehicle.nissan.micra,0.0,0.0
48.8,vehicle.nissan.micra,0.0,0.0
48.95,vehicle.nissan.micra,0.0,0.0
49.09,vehicle.nissan.micra,0.0,0.0
49.14,vehicle.nissan.micra,0.0,0.0
49.25,vehicle.nissan.micra,0.0,0.0
49.38,vehicle.nissan.micra,0.0,0.0
49.4,vehicle.nissan.micra,0.0,0.0
49.56,vehicle.nissan.micra,0.0,0.0
49.61,vehicle.nissan.micra,0.0,0.0
49.79,vehicle.nissan.micra,0.0,0.0
