Time [s],Speed [mph],Speed [mps],Acceleration Requested [mps2],Acceleration Achieved [mps2],Calculated Acceleration [mps2],
35.3,13.1730652,5.8888936,0.25,0.236374844,0.002871309,
35.4,13.23481865,5.916499892,0.25,0.236223015,0.276063184,
35.5,13.2965889,5.944113698,0.25,0.249832687,0.276138321,
35.6,13.42022637,5.999384652,0.25,0.249833504,0.55271007,
35.7,13.48324261,6.027555462,0.25,0.263775782,0.281708363,
35.8,13.4837507,6.0277826,0.25,0.250086066,0.002271386,
35.9,13.54531726,6.055305347,0.25,0.250026799,0.275227734,
36,13.6077654,6.083222195,0.25,0.250041948,0.279168743,
36.1,13.66953468,6.110835564,0.25,0.250041593,0.276133957,
36.2,13.73191497,6.138722079,0.25,0.263803491,0.278865418,
36.3,13.79374631,6.166363193,0.25,0.277624061,0.276411398,
36.4,13.7944362,6.1666716,0.25,0.250255862,0.003084075,
36.5,13.85576045,6.194086022,0.25,0.263707663,0.274144486,
36.6,13.91820075,6.221999365,0.25,0.250166841,0.279133697,
36.7,13.98003372,6.249641208,0.25,0.263707456,0.27641869,
36.8,14.04241296,6.277527252,0.25,0.250235594,0.278860702,
36.9,14.10479954,6.305416583,0.25,0.263817343,0.278893574,
37,14.16663033,6.333057448,0.25,0.263930548,0.276408917,
37.1,14.1672588,6.3333384,0.25,0.250127987,0.002809524,
37.2,14.22864515,6.360780584,0.25,0.236087282,0.2744221,
37.3,14.2293959,6.3611162,0.25,0.236111525,0.003356165,
37.4,14.41336705,6.443358756,0.25,0.263429683,0.822426347,
37.5,14.4158072,6.4444496,0.25,0.25016819,0.010908448,
37.6,14.47700727,6.471808508,0.25,0.236212153,0.273589346,
37.7,14.5394462,6.499721238,0.25,0.236083113,0.27912756,
37.8,14.60189548,6.527638598,0.25,0.249928237,0.279173869,
37.9,14.66366546,6.555252278,0.25,0.249973704,0.276137062,
38,14.6643556,6.5555608,0.25,0.236169528,0.003085223,
38.1,14.78712425,6.610443357,0.25,0.249804135,0.548826097,
38.2,14.84958362,6.638365228,0.25,0.249821812,0.27921897,
38.3,14.8507669,6.6388942,0.25,0.236265729,0.005289727,
38.4,14.97389591,6.693937852,0.25,0.263633378,0.550437047,
38.5,14.9750411,6.6944498,0.25,0.250182127,0.005119483,
38.6,15.03648764,6.721918894,0.25,0.249960002,0.274691199,
38.7,15.0371782,6.7222276,0.25,0.236293421,0.003087066,
38.8,15.13969081,6.768054889,0.25,0.245264053,0.458273327,
38.9,15.21071351,6.799804911,0.25,0.2471944,0.317500518,
39,15.2235895,6.805561,0.25,0.236252001,0.05756095,
39.1,15.32181532,6.84947192,0.25,0.258067006,0.439109617,
39.2,15.39719994,6.883171899,0.25,0.261195907,0.337000116,
39.3,15.4100008,6.8888944,0.25,0.263889352,0.057225062,
39.4,15.45927454,6.910921757,0.25,0.233781723,0.220273777,
39.5,15.52121763,6.938612829,0.25,0.24708185,0.276910985,
39.6,15.57529122,6.962785913,0.25,0.245488937,0.241731076,
39.7,15.63308963,6.988624141,0.25,0.244451685,0.258382522,
39.8,15.6585492,7.0000056,0.25,0.236183726,0.113814699,
39.9,15.69513945,7.016362924,0.25,0.230555543,0.163573394,
40,15.75729519,7.044149058,0.25,0.244294362,0.277861603,
40.1,15.81968178,7.072038388,0.25,0.230797736,0.278893574,
40.2,15.88173606,7.099779164,0.25,0.230707188,0.277408016,
40.3,15.94389347,7.127566046,0.25,0.244336156,0.277869088,
40.4,16.00594831,7.155307071,0.25,0.230684829,0.277410518,
40.5,16.06810517,7.183093703,0.25,0.244322185,0.277866586,
40.6,16.0935089,7.1944502,0.25,0.236265878,0.113565075,
40.7,16.16685063,7.227236922,0.25,0.252504902,0.327867528,
40.8,16.25433645,7.266346627,0.25,0.249146107,0.391097428,
40.9,16.2799202,7.2777836,0.25,0.238989573,0.114369838,
41,16.35363589,7.310737498,0.25,0.25258849,0.329539295,
41.1,16.4041944,7.3333392,0.25,0.241933871,0.226017235,
41.2,16.44098974,7.349788206,0.25,0.233308376,0.164490222,
41.3,16.50304458,7.377529234,0.25,0.24431765,0.27741054,
41.4,16.56520143,7.405315864,0.25,0.247197289,0.277866564,
41.5,16.6272204,7.433040855,0.25,0.247214249,0.277250174,
41.6,16.68325452,7.458090376,0.25,0.247652467,0.250495448,
41.7,16.74546371,7.485900403,0.25,0.248638368,0.278100537,
41.8,16.777017,7.500006,0.25,0.250000438,0.141056104,
41.9,16.80756229,7.513660982,0.25,0.248649266,0.13654995,
42,16.91262998,7.560630495,0.25,0.258240965,0.469695577,
