Time [s],Speed [mph],Speed [mps],Acceleration Command [m/s²],Calculated Acceleration [m/s²]
40.8612,10.811855399999999,4.8333372,0.25,0.259186538844548
40.9612,10.811855399999999,4.8333372,0.25,0.24066800551121492
41.0612,10.9982667,4.916670600000001,0.25,0.2776865351074786
41.1613,10.936129600000001,4.888892800000001,0.25,0.24066796847411048
41.2611,10.9982667,4.916670600000001,0.25,0.27833466933867174
41.3611,10.9982667,4.916670600000001,0.25,0.24076046919506094
41.4611,11.184678,5.000004000000001,0.25,0.27779753586172706
41.5613,11.184678,5.000004000000001,0.25,0.24076046919506094
41.6611,11.184678,5.000004000000001,0.25,0.24076046919506094
41.7612,11.184678,5.000004000000001,0.25,0.2222419358617273
41.8612,11.246815100000001,5.0277818000000005,0.25,0.22226043589502856
41.9622,11.433226399999999,5.1111152,0.25,0.2587289100457445
42.0611,11.433226399999999,5.1111152,0.25,0.2587289100457445
42.1611,11.4953635,5.138893,0.25,0.2777780000000154
42.2612,11.4953635,5.138893,0.25,0.203209422543664
42.3613,11.4953635,5.138893,0.25,0.203209422543664
42.4611,11.6196377,5.1944486,0.25,0.24032071178882025
42.5611,11.6196377,5.1944486,0.25,0.1847651117888205
42.6611,11.681774800000001,5.2222264,0.25,0.22178367842218857
42.7612,11.743911899999999,5.2500042,0.25,0.22172806709964288
42.8612,11.743911899999999,5.2500042,0.25,0.22172806709964288
42.9611,11.806049,5.277782,0.25,0.1847095375033798
43.0614,11.8681861,5.305559800000001,0.25,0.20317268140500933
43.1611,11.9303232,5.3333376,0.25,0.22174693750664723
43.2612,12.054597399999999,5.3888932,0.25,0.25874700410671203
43.3611,12.054597399999999,5.3888932,0.25,0.24022847077337764
43.4612,12.1167345,5.416671000000001,0.25,0.2775004995005146
43.5612,12.1788716,5.444448800000001,0.25,0.2777779999999957
43.6611,12.1788716,5.444448800000001,0.25,0.20372295951895864
43.7614,12.2410087,5.4722266,0.25,0.2221861034205857
43.8612,12.303145800000001,5.500004400000001,0.25,0.24074174804316575
43.9612,12.365282899999999,5.5277822,0.25,0.2777779999999868
44.0612,12.42742,5.555560000000001,0.25,0.2777780000000046
44.1617,12.4895571,5.583337800000001,0.25,0.2763960199004867
44.2612,12.4895571,5.583337800000001,0.25,0.22207536015800797
44.3616,12.5516942,5.611115600000001,0.25,0.2405201144740769
44.4616,12.613831300000001,5.638893400000001,0.25,0.2777780000000154
44.5617,12.675968399999999,5.6666712,0.25,0.2775004995004771
44.6623,12.8002426,5.7222268000000005,0.25,0.2587803803492141
44.7623,12.8002426,5.7222268000000005,0.25,0.22178031374914928
44.8625,12.8623797,5.7500046000000005,0.25,0.24026188394209785
44.9615,12.924516800000001,5.7777824,0.25,0.2805838383838274
45.0616,12.924516800000001,5.7777824,0.25,0.22194890653431898
45.1613,12.986653899999999,5.8055602,0.25,0.24052316263595747
45.2613,13.1109281,5.861115800000001,0.25,0.2590970854009971
45.3613,13.1730652,5.8888936,0.25,0.2777779999999868
45.4613,13.1730652,5.8888936,0.25,0.2405414407784171
45.5614,13.3594765,5.972227,0.25,0.27752300734518454
45.6614,13.3594765,5.972227,0.25,0.25909660601848544
45.7611,13.3594765,5.972227,0.25,0.25909660601848544
45.8612,13.4216136,6.000004800000001,0.25,0.2775004995005146
45.9611,13.4837507,6.0277826,0.25,0.2780560560560323
46.0612,13.4837507,6.0277826,0.25,0.24067038877282015
46.1611,13.670162,6.111116000000001,0.25,0.2594654303352584
46.2612,13.670162,6.111116000000001,0.25,0.2594654303352584
46.3612,13.7944362,6.1666716,0.25,0.27802092680897794
46.4612,13.7322991,6.138893800000001,0.25,0.24079680425005703
