Time [s],Speed [mph],Speed [mphs,Acceleration Command [m/s²],Calculated Acceleration [m/s²]
441.4612,0.0,0.0,-1.5,-0.32868511102203835
441.5613,0.0,0.0,-1.5,-0.28076613412434837
441.6612,0.0,0.0,-1.5,-0.2323605055432935
441.7624,0.0,0.0,-1.5,-0.18886047224325972
441.8612,0.0,0.0,-1.5,-0.13148541396820065
441.9612,0.0,0.0,-1.5,-0.08310342743621166
442.0612,0.0,0.0,-1.5,-0.030297821830603536
442.1612,0.0,0.0,-1.5,0.02704492600704497
442.2612,0.0,0.0,-1.5,0.07982272600705446
442.3612,0.0,0.0,2.0,0.1372951040965616
442.4612,0.0,0.0,2.0,0.1946701623716206
442.5625,0.0,0.0,2.0,0.24744796237161434
442.6613,0.0,0.0,2.0,0.3002257623716238
442.7613,0.0,0.0,2.0,0.362262829038282
442.8613,0.0,0.0,2.0,0.4150406290382915
442.9612,0.0,0.0,2.0,0.4724156873133323
443.0614,0.0,0.0,2.0,0.5344898281208096
443.1612,0.0,0.0,2.0,0.5915446583219389
443.2634,0.0,0.0,2.0,0.6492794394667234
443.3612,0.0,0.0,2.0,0.7066544977417826
443.4613,0.0,0.0,2.0,0.7640943709483069
443.5612,0.0,0.0,2.0,0.8215018042816512
443.6612,0.0,0.0,2.0,0.874279604281645
443.7613,0.0,0.0,2.0,0.9359863105915346
443.8613,0.0,0.0,2.0,0.98901638122725
443.9612,0.0,0.0,2.0,1.0417941812272438
444.0614,1.0563307,0.47222260000000005,2.0,1.0992016145605883
444.1612,1.1806049,0.5277782,2.0,1.151951664510639
444.2612,1.5534275,0.6944450000000001,2.0,1.2001230025153122
444.3612,1.6777017,0.7500006000000001,2.0,1.257562875721855
444.4622,1.9883872,0.8888896000000002,2.0,1.31031292567189
444.5611,2.2990727,1.0277786000000002,2.0,1.3630907256718994
444.6612,2.5476210999999997,1.1388898,2.0,1.4204981590052255
444.7613,2.9825808,1.3333344,2.0,1.4779055923385698
444.8603,3.2932663,1.4722234,2.0,1.5258245692362595
444.9602,3.6660889,1.6388902000000003,2.0,1.5882357476874207
445.0604,4.1010485999999995,1.8333348,2.0,1.6410135476874301
445.1604,4.4738712000000005,2.0000016,2.0,1.6982918677405576
445.2602,4.9088309,2.1944462000000002,2.0,1.7651259038851321
445.3603,5.3437906,2.3888908,2.0,1.8225333372184582
445.4603,5.716613199999999,2.5555576,2.0,1.8123019666263156
445.5603,6.0894358,2.7222244000000004,2.0,1.816079922538133
445.6603,6.5865326,2.9444468,2.0,1.810552194810408
445.7603,6.9593552,3.1111136,2.0,1.818802394411194
445.8604,7.3943149,3.3055582000000006,2.0,1.8086403990825344
445.9603,7.8914117,3.5277806000000003,2.0,1.8123441324158591
446.0614,8.326371400000001,3.7222252000000005,2.0,1.8160478657492052
446.1604,8.7613311,3.9166698,2.0,1.7873349249641073
446.2605,9.1962908,4.111114400000001,2.0,1.744723769319481
446.3604,9.6312505,4.305559000000001,2.0,1.7576867693194707
446.4604,10.0662102,4.5000036,2.0,1.724353435986137
446.5604,10.4390328,4.666670400000001,2.0,1.6910201026528038
446.6613,10.936129600000001,4.888892800000001,2.0,1.676223839723209
446.7604,11.3089522,5.0555596000000005,2.0,1.6243719730565362
446.8604,11.681774800000001,5.2222264,2.0,1.6141636813482447
446.9604,12.1167345,5.416671000000001,2.0,1.5761960804139794
447.0605,12.4895571,5.583337800000001,2.0,1.5382698568690059
447.1604,12.8002426,5.7222268000000005,2.0,1.5049365235356722
447.2603,13.235202300000001,5.916671400000001,2.0,1.4956587012243845
447.3604,13.608024899999998,6.0833382,2.0,1.4771124731751888
447.4604,13.9808475,6.250005000000001,2.0,1.4585753841972366
447.5604,14.4158072,6.4444496000000004,2.0,1.4449156739662161
447.6604,14.8507669,6.6388942,2.0,1.4122415101832924
447.7614,15.1614524,6.7777832,2.0,1.4030007435499228
447.8604,15.6585492,7.000005600000001,2.0,1.3660006769498556
447.9604,16.031371800000002,7.166672400000001,2.0,1.351877957084531
448.0608,16.4663315,7.361117000000001,2.0,1.319442718145588
448.1604,17.025565399999998,7.611117200000001,2.0,1.2870999703079395
448.2604,17.4605251,7.805561800000001,2.0,1.2686938977033433
448.3606,17.7712106,7.944450800000001,2.0,1.2315918862805035
448.4604,18.268307399999998,8.1666732,2.0,1.1945871946721123
448.5603,18.64113,8.333340000000002,2.0,1.1668093946721185
448.6605,19.2003639,8.5833402,2.0,1.1481630213650784
448.7604,19.5110494,8.722229200000001,2.0,1.1017731600856295
448.8604,20.008146200000002,8.9444516,0.0,1.08326389528749
448.9604,20.505243,9.166674,0.0,1.041721246253373
449.0606,20.5673801,9.194451800000001,0.0,1.0139156406477654
449.1604,20.4431059,9.1388962,0.0,0.9771891320073497
449.2604,21.0644769,9.416674200000001,0.0,0.9444543508625652
449.3605,21.0644769,9.416674200000001,0.0,0.9120792925875062
449.4605,21.0644769,9.416674200000001,0.0,0.8796394193809819
449.5604,21.3130253,9.5277854,0.0,0.8472319860476376
449.6604,21.0644769,9.416674200000001,0.0,0.8240791943726523
449.7605,21.3751624,9.5555632,0.0,0.7827289240373523
449.8604,21.3130253,9.5277854,0.0,0.7593284867349721
449.9612,21.250888200000002,9.500007600000002,0.0,0.7223006700849665
450.0606,21.250888200000002,9.500007600000002,0.0,0.6945228700849571
450.1603,21.250888200000002,9.500007600000002,0.0,0.6621478118098979
450.2606,21.3751624,9.5555632,0.0,0.6436107414061594
450.3604,21.250888200000002,9.500007600000002,0.0,0.606541234866284
450.4604,21.3751624,9.5555632,0.0,0.5880504515829141
450.5603,21.250888200000002,9.500007600000002,0.0,0.5556979150875135
450.6603,21.3751624,9.5555632,0.0,0.5326432763669781
450.7604,21.3130253,9.5277854,0.0,0.4909487149828127
450.8604,21.4372995,9.583341,0.0,0.47265474641013133
450.9604,21.3751624,9.5555632,0.0,0.4259750327571007
451.0616,21.3751624,9.5555632,0.0,0.41207225773211686
451.1604,21.499436600000003,9.611118800000002,0.0,0.37515967007805456
451.2604,21.4372995,9.583341,0.0,0.3240663672668154
451.3604,21.3751624,9.5555632,0.0,0.30090895058350653
451.4603,21.3751624,9.5555632,0.0,0.2685477211756511
451.5617,21.499436600000003,9.611118800000002,0.0,0.2406956985971704
451.6607,21.3751624,9.5555632,0.0,0.2036400763415449
