timestamp_posix,msgCount,temporaryId,latitude,longitude,elevation,speed,heading,length,width
1696358355.4738934,3,ca62cd16,42.3011956,-83.6986621,239.0,125.0,180.10000000000002,314,159
1696358355.476869,4,ca62cd16,42.3011844,-83.6986621,239.0,125.0,180.10000000000002,314,159
1696358355.484823,5,ca62cd16,42.301173,-83.6986621,239.0,125.0,180.20000000000002,314,159
1696358355.4896715,6,ca62cd16,42.3011618,-83.6986621,239.0,125.0,180.20000000000002,314,159
1696358355.494649,7,ca62cd16,42.3011518,-83.6986623,239.0,125.0,180.20000000000002,314,159
1696358355.4991653,8,ca62cd16,42.3011404,-83.6986623,239.0,125.0,180.3,314,159
1696358355.5047262,9,ca62cd16,42.3011292,-83.6986625,239.0,125.0,180.3,314,159
1696358355.510332,10,ca62cd16,42.3011179,-83.6986625,239.0,125.0,180.3,314,159
1696358355.5133972,11,ca62cd16,42.3011067,-83.6986627,239.0,125.0,180.4,314,159
1696358355.5221863,12,ca62cd16,42.3010953,-83.6986627,239.0,125.0,180.4,314,159
1696358355.5253563,13,ca62cd16,42.3010841,-83.6986629,239.0,125.0,180.4,314,159
1696358355.5319684,14,ca62cd16,42.3010728,-83.6986631,239.0,125.0,180.5,314,159
1696358355.5378878,15,ca62cd16,42.3010616,-83.6986633,239.0,125.0,180.5,314,159
1696358355.5410435,16,ca62cd16,42.3010502,-83.6986633,239.0,125.0,180.5,314,159
1696358355.5494354,17,ca62cd16,42.3010391,-83.6986634,239.0,125.0,180.5,314,159
1696358355.5552444,18,ca62cd16,42.301029,-83.6986636,239.0,125.0,180.60000000000002,314,159
1696358355.57893,19,ca62cd16,42.3010176,-83.6986638,239.0,125.0,180.60000000000002,314,159
1696358355.5886285,20,ca62cd16,42.3010065,-83.698664,239.0,125.0,180.60000000000002,314,159
1696358355.6176865,21,ca62cd16,42.3009951,-83.6986642,239.0,125.0,180.70000000000002,314,159
1696358355.6384192,22,ca62cd16,42.3009839,-83.6986638,239.0,125.0,179.70000000000002,314,159
1696358355.6416025,23,ca62cd16,42.3009726,-83.6986637,238.9,125.0,179.70000000000002,314,159
1696358355.6507738,24,ca62cd16,42.3009614,-83.6986637,238.9,125.0,179.70000000000002,314,159
1696358355.6575842,25,ca62cd16,42.30095,-83.6986635,238.9,125.0,179.70000000000002,314,159
1696358355.6610994,26,ca62cd16,42.3009388,-83.6986635,238.9,125.0,179.70000000000002,314,159
1696358355.6773684,27,ca62cd16,42.3009277,-83.6986633,238.9,125.0,179.70000000000002,314,159
1696358355.68055,28,ca62cd16,42.3009163,-83.6986633,238.8,125.0,179.70000000000002,314,159
1696358355.6881309,29,ca62cd16,42.3009062,-83.6986631,238.8,125.0,179.60000000000002,314,159
1696358355.6912906,30,ca62cd16,42.3008949,-83.6986631,238.8,125.0,179.60000000000002,314,159
1696358355.69569,31,ca62cd16,42.3008837,-83.698663,238.8,125.0,179.60000000000002,314,159
1696358355.7033951,32,ca62cd16,42.3008723,-83.698663,238.8,125.0,179.60000000000002,314,159
1696358355.7133644,33,ca62cd16,42.3008612,-83.6986628,238.8,125.0,179.60000000000002,314,159
1696358355.7165616,34,ca62cd16,42.3008498,-83.6986628,238.7,125.0,179.60000000000002,314,159
1696358355.751786,35,ca62cd16,42.3008386,-83.6986626,238.7,125.0,179.60000000000002,314,159
1696358355.7572286,36,ca62cd16,42.3008274,-83.6986626,238.7,125.0,179.60000000000002,314,159
1696358355.7665935,37,ca62cd16,42.3008161,-83.6986625,238.7,125.0,179.60000000000002,314,159
1696358355.7723925,38,ca62cd16,42.3008049,-83.6986623,238.7,125.0,179.60000000000002,314,159
1696358355.7767003,39,ca62cd16,42.3007935,-83.6986623,238.6,125.0,179.60000000000002,314,159
1696358355.7872033,40,ca62cd16,42.3007823,-83.6986621,238.6,125.0,179.60000000000002,314,159
1696358355.7901602,41,ca62cd16,42.3007721,-83.6986621,238.6,125.0,179.60000000000002,314,159
1696358355.802532,42,ca62cd16,42.3007609,-83.698662,238.6,125.0,179.60000000000002,314,159
1696358355.8052833,43,ca62cd16,42.3007495,-83.6986618,238.6,125.0,179.60000000000002,314,159
1696358355.8141177,44,ca62cd16,42.3007383,-83.6986618,238.5,125.0,179.60000000000002,314,159
1696358355.822995,45,ca62cd16,42.3007272,-83.6986616,238.5,125.0,179.60000000000002,314,159
1696358355.8278987,46,ca62cd16,42.3007158,-83.6986615,238.5,125.0,179.60000000000002,314,159
1696358355.8309846,47,ca62cd16,42.3007046,-83.6986615,238.5,125.0,179.60000000000002,314,159
1696358355.839985,48,ca62cd16,42.3006933,-83.6986613,238.5,125.0,179.5,314,159
1696358355.8444395,49,ca62cd16,42.3006821,-83.6986611,238.5,125.0,179.5,314,159
1696358355.846956,50,ca62cd16,42.3006707,-83.6986611,238.4,125.0,179.5,314,159
1696358355.8735826,51,ca62cd16,42.3006595,-83.6986609,238.4,125.0,179.5,314,159
1696358355.8852675,52,ca62cd16,42.3006482,-83.6986608,238.4,125.0,179.5,314,159
1696358355.8938076,53,ca62cd16,42.300637,-83.6986608,238.4,125.0,179.5,314,159
1696358355.90455,54,ca62cd16,42.3006268,-83.6986606,238.4,125.0,179.5,314,159
1696358355.9077044,55,ca62cd16,42.3006156,-83.6986604,238.3,125.0,179.5,314,159
1696358355.9153316,56,ca62cd16,42.3006044,-83.6986603,238.3,125.0,179.5,314,159
1696358355.9545758,57,ca62cd16,42.300593,-83.6986603,238.3,125.0,179.5,314,159
1696358355.957515,58,ca62cd16,42.3005818,-83.6986601,238.3,125.0,179.5,314,159
1696358355.964138,59,ca62cd16,42.3005705,-83.6986599,238.3,125.0,179.5,314,159
1696358355.9740908,60,ca62cd16,42.3005593,-83.6986598,238.2,125.0,179.5,314,159
1696358355.9926388,61,ca62cd16,42.3005479,-83.6986596,238.2,125.0,179.5,314,159
1696358356.002789,62,ca62cd16,42.3005367,-83.6986596,238.2,125.0,179.5,314,159
1696358356.0067768,63,ca62cd16,42.3005254,-83.6986594,238.2,125.0,179.5,314,159
1696358356.0135822,64,ca62cd16,42.3005153,-83.6986593,238.2,125.0,179.5,314,159
1696358356.018561,65,ca62cd16,42.3005041,-83.6986591,238.1,125.0,179.5,314,159
1696358356.0223293,66,ca62cd16,42.3004928,-83.6986589,238.1,125.0,179.4,314,159
1696358356.0290408,67,ca62cd16,42.3004816,-83.6986589,238.1,125.0,179.4,314,159
1696358356.034612,68,ca62cd16,42.3004703,-83.6986587,238.1,125.0,179.4,314,159
